# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.5000000000e+01
# lRef            : 9.8770000000e-01
# Aref            : 9.8770000000e-05
# CofR            : (2.5000000000e-01 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
2.65              	5.4563794680e-03	6.5468819843e-04	4.8016912696e-03	2.0378084246e-01	6.0466724604e-02	1.4331411785e-01	-4.1423696625e-02	-2.0735015356e-03	5.5519503547e-05	2.0360624191e-17	5.5519503547e-05	-5.5519503547e-05
2.7               	5.7428765846e-03	7.5124571433e-04	4.9916308703e-03	2.0836957306e-01	6.0403095105e-02	1.4796647796e-01	-4.3781691426e-02	-2.1201925780e-03	5.8434655944e-05	1.9742634917e-17	5.8434655944e-05	-5.8434655944e-05
2.75              	5.6481346629e-03	7.5140967465e-04	4.8967249883e-03	2.0369790723e-01	6.0337557175e-02	1.4336035005e-01	-4.1511396438e-02	-2.0726576568e-03	5.7470642262e-05	1.9813011531e-17	5.7470642262e-05	-5.7470642262e-05
2.8               	5.6784176385e-03	7.3685057080e-04	4.9415670677e-03	2.0661684000e-01	6.0322385226e-02	1.4629445477e-01	-4.2986034774e-02	-2.1023582485e-03	5.7778776214e-05	1.9151614083e-17	5.7778776214e-05	-5.7778776214e-05
2.85              	5.5903351724e-03	7.1118729701e-04	4.8791478754e-03	2.0481067977e-01	6.0365659583e-02	1.4444502018e-01	-4.2039680300e-02	-2.0839802892e-03	5.6882523522e-05	1.9791644390e-17	5.6882523522e-05	-5.6882523522e-05
2.9               	5.5056609118e-03	6.8761755892e-04	4.8180433528e-03	2.0296624660e-01	6.0322403554e-02	1.4264384305e-01	-4.1160719746e-02	-2.0652128970e-03	5.6020949846e-05	1.9397467050e-17	5.6020949846e-05	-5.6020949846e-05
2.95              	5.6577166686e-03	7.3002612904e-04	4.9276905395e-03	2.0627030538e-01	6.0333351834e-02	1.4593695355e-01	-4.2801800858e-02	-2.0988322052e-03	5.7568140649e-05	2.0134148692e-17	5.7568140649e-05	-5.7568140649e-05
3                 	5.5475396756e-03	6.8980400858e-04	4.8577356670e-03	2.0480925866e-01	6.0474877894e-02	1.4433438077e-01	-4.1929751436e-02	-2.0839658292e-03	5.6447072735e-05	1.9595983027e-17	5.6447072735e-05	-5.6447072735e-05
3.05              	5.6671623112e-03	7.3180022646e-04	4.9353620847e-03	2.0656010186e-01	6.0535777495e-02	1.4602432437e-01	-4.2744273436e-02	-2.1017809291e-03	5.7664251521e-05	2.1030844970e-17	5.7664251521e-05	-5.7664251521e-05
3.1               	5.4879369999e-03	6.8283997315e-04	4.8050970268e-03	2.0256484039e-01	6.0266372322e-02	1.4229846807e-01	-4.1016047873e-02	-2.0611285268e-03	5.5840606307e-05	1.9402850379e-17	5.5840606307e-05	-5.5840606307e-05
3.15              	5.6817218670e-03	7.3773682380e-04	4.9439850432e-03	2.0669210778e-01	6.0334153758e-02	1.4635795402e-01	-4.3011900131e-02	-2.1031241097e-03	5.7812397250e-05	2.0603499582e-17	5.7812397250e-05	-5.7812397250e-05
3.2               	5.5412491924e-03	6.9018608440e-04	4.8510631080e-03	2.0446259881e-01	6.0383888927e-02	1.4407870989e-01	-4.1847410480e-02	-2.0804385118e-03	5.6383066096e-05	1.9594756594e-17	5.6383066096e-05	-5.6383066096e-05
3.25              	5.7245247927e-03	7.4771380107e-04	4.9768109916e-03	2.0781489030e-01	6.0403929616e-02	1.4741096069e-01	-4.3503515536e-02	-2.1145485953e-03	5.8247923627e-05	2.0171319690e-17	5.8247923627e-05	-5.8247923627e-05
3.3               	5.5598114108e-03	6.9950042286e-04	4.8603109879e-03	2.0445933309e-01	6.0380286630e-02	1.4407904646e-01	-4.1849379915e-02	-2.0804052825e-03	5.6571939535e-05	2.0384700152e-17	5.6571939535e-05	-5.6571939535e-05
3.35              	5.7080883890e-03	7.3746411103e-04	4.9706242780e-03	2.0801454214e-01	6.0503643047e-02	1.4751089909e-01	-4.3503628021e-02	-2.1165800835e-03	5.8080680682e-05	1.9338279417e-17	5.8080680682e-05	-5.8080680682e-05
3.4               	5.6372750166e-03	7.2220102950e-04	4.9150739871e-03	2.0603485673e-01	6.0545129565e-02	1.4548972716e-01	-4.2472298800e-02	-2.0964364788e-03	5.7360143685e-05	1.9862444040e-17	5.7360143685e-05	-5.7360143685e-05
3.45              	5.7382626794e-03	7.4231416748e-04	4.9959485119e-03	2.0902062895e-01	6.0565494681e-02	1.4845513427e-01	-4.3944819797e-02	-2.1268171722e-03	5.8387708745e-05	1.9266014779e-17	5.8387708745e-05	-5.8387708745e-05
3.5               	5.6328027861e-03	7.2206615759e-04	4.9107366285e-03	2.0582834946e-01	6.0553107680e-02	1.4527524178e-01	-4.2361067050e-02	-2.0943352355e-03	5.7314638048e-05	1.9583931828e-17	5.7314638048e-05	-5.7314638048e-05
3.55              	5.6312716126e-03	7.1431983402e-04	4.9169517786e-03	2.0651440655e-01	6.0484375658e-02	1.4603003089e-01	-4.2772827617e-02	-2.1013159723e-03	5.7299058122e-05	1.9575598262e-17	5.7299058122e-05	-5.7299058122e-05
3.6               	5.6233701003e-03	7.1857407091e-04	4.9047960294e-03	2.0570803126e-01	6.0465937769e-02	1.4524209349e-01	-4.2388077863e-02	-2.0931109792e-03	5.7218659014e-05	2.0514019789e-17	5.7218659014e-05	-5.7218659014e-05
3.65              	5.4193579711e-03	6.4011352485e-04	4.7792444462e-03	2.0339401050e-01	6.0403204311e-02	1.4299080619e-01	-4.1293800939e-02	-2.0695654607e-03	5.5142804100e-05	2.0003125129e-17	5.5142804100e-05	-5.5142804100e-05
3.7               	5.6881499870e-03	7.2331064474e-04	4.9648393423e-03	2.0842576590e-01	6.0563522458e-02	1.4786224344e-01	-4.3649360491e-02	-2.1207643488e-03	5.7877804363e-05	2.0900375242e-17	5.7877804363e-05	-5.7877804363e-05
3.75              	5.6510937426e-03	7.1549980596e-04	4.9355939367e-03	2.0737248621e-01	6.0632346795e-02	1.4674013942e-01	-4.3053896312e-02	-2.1100470654e-03	5.7500751355e-05	2.0836772629e-17	5.7500751355e-05	-5.7500751355e-05
3.8               	5.7603046426e-03	7.5708835996e-04	5.0032162826e-03	2.0865176862e-01	6.0521166638e-02	1.4813060198e-01	-4.3804717671e-02	-2.1230639613e-03	5.8611989124e-05	2.1256733008e-17	5.8611989124e-05	-5.8611989124e-05
3.85              	5.5924922029e-03	7.0929042075e-04	4.8832017822e-03	2.0510309710e-01	6.0460120678e-02	1.4464297642e-01	-4.2091427871e-02	-2.0869556807e-03	5.6904471641e-05	2.0310518680e-17	5.6904471641e-05	-5.6904471641e-05
3.9               	5.6058735567e-03	7.3005187334e-04	4.8758216833e-03	2.0372024086e-01	6.0234883037e-02	1.4348535783e-01	-4.1625237394e-02	-2.0728849050e-03	5.7040628981e-05	1.9198096916e-17	5.7040628981e-05	-5.7040628981e-05
3.95              	5.6279671897e-03	7.2604628599e-04	4.9019209037e-03	2.0519957014e-01	6.0245672179e-02	1.4495389796e-01	-4.2354112892e-02	-2.0879373088e-03	5.7265435108e-05	2.0444968661e-17	5.7265435108e-05	-5.7265435108e-05
4                 	5.5939846203e-03	7.1802507290e-04	4.8759595474e-03	2.0431800400e-01	6.0206802476e-02	1.4411120153e-01	-4.1952199527e-02	-2.0789672373e-03	5.6919657218e-05	1.9919703292e-17	5.6919657218e-05	-5.6919657218e-05
