"T","TMean","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","alphat","epsilon","k","nut","nutMean","p","p_rgh","p_rghMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
300,300,3.3089e-06,-4.7864e-08,1.7881,5.4145e-06,-2.1095e-07,1.7984,4.3671e-10,7.6116e-12,0.0034228,-4.055e-11,9.7155e-08,-7.145e-07,0.36826,0.0059595,0.13967,0.31302,0.32635,99961,1e+05,1e+05,0,0,0,0,1,3.9,125,3.9,200
300,300,3.3297e-06,-4.988e-08,1.8016,5.4376e-06,-2.1718e-07,1.8119,4.3821e-10,8.0505e-12,0.0034149,-4.1747e-11,1.0015e-07,-7.1272e-07,0.3774,0.0057956,0.13949,0.32079,0.33457,99960,1e+05,1e+05,0,0,0,0,1,4,125,4,200
300,300,3.3506e-06,-5.1895e-08,1.8151,5.4607e-06,-2.234e-07,1.8254,4.397e-10,8.4894e-12,0.0034071,-4.2945e-11,1.0314e-07,-7.1093e-07,0.38654,0.0056318,0.1393,0.32856,0.34279,99959,1e+05,1e+05,0,0,0,0,1,4.1,125,4.1,200
300,300,3.3714e-06,-5.3911e-08,1.8286,5.4838e-06,-2.2963e-07,1.8389,4.4119e-10,8.9283e-12,0.0033992,-4.4142e-11,1.0614e-07,-7.0914e-07,0.39567,0.005468,0.13911,0.33632,0.35101,99958,1e+05,1e+05,0,0,0,0,1,4.2,125,4.2,200
300,300,3.3922e-06,-5.5926e-08,1.8421,5.5069e-06,-2.3585e-07,1.8524,4.4268e-10,9.3673e-12,0.0033914,-4.5339e-11,1.0913e-07,-7.0736e-07,0.40481,0.0053041,0.13893,0.34409,0.35923,99957,1e+05,1e+05,0,0,0,0,1,4.3,125,4.3,200
300,300,3.4131e-06,-5.7941e-08,1.8556,5.53e-06,-2.4208e-07,1.8659,4.4418e-10,9.8062e-12,0.0033835,-4.6537e-11,1.1213e-07,-7.0557e-07,0.41395,0.0051403,0.13874,0.35186,0.36745,99956,1e+05,1e+05,0,0,0,0,1,4.4,125,4.4,200
300,300,3.4339e-06,-5.9957e-08,1.8691,5.5532e-06,-2.4831e-07,1.8794,4.4567e-10,1.0245e-11,0.0033757,-4.7734e-11,1.1512e-07,-7.0379e-07,0.42309,0.0049765,0.13856,0.35963,0.37567,99955,1e+05,1e+05,0,0,0,0,1,4.5,125,4.5,200
300,300,3.4532e-06,-6.1907e-08,1.882,5.5745e-06,-2.545e-07,1.8923,4.4701e-10,1.0716e-11,0.0033646,-4.8919e-11,1.1799e-07,-7.0134e-07,0.43218,0.0048256,0.13838,0.36735,0.38385,99954,1e+05,1e+05,0,0,0,0,1,4.6,125,4.6,200
300,300,3.4642e-06,-6.3505e-08,1.8918,5.5862e-06,-2.605e-07,1.902,4.4755e-10,1.1356e-11,0.0033363,-5.0041e-11,1.2017e-07,-6.9538e-07,0.44099,0.0047438,0.13823,0.37484,0.39184,99953,1e+05,1e+05,0,0,0,0,1,4.7,125,4.7,200
300,300,3.4752e-06,-6.5104e-08,1.9015,5.5979e-06,-2.6651e-07,1.9117,4.4809e-10,1.1996e-11,0.0033081,-5.1162e-11,1.2236e-07,-6.8942e-07,0.4498,0.0046619,0.13808,0.38233,0.39983,99952,1e+05,1e+05,0,0,0,0,1,4.8,125,4.8,200
300,300,3.4861e-06,-6.6702e-08,1.9113,5.6096e-06,-2.7252e-07,1.9215,4.4863e-10,1.2635e-11,0.0032799,-5.2284e-11,1.2454e-07,-6.8347e-07,0.45861,0.0045801,0.13793,0.38982,0.40782,99951,1e+05,1e+05,0,0,0,0,1,4.9,125,4.9,200
300,300,3.4971e-06,-6.83e-08,1.921,5.6214e-06,-2.7852e-07,1.9312,4.4917e-10,1.3275e-11,0.0032516,-5.3405e-11,1.2673e-07,-6.7751e-07,0.46742,0.0044983,0.13778,0.39731,0.41581,99950,1e+05,1e+05,0,0,0,0,1,5,125,5,200
300,300,3.5081e-06,-6.9899e-08,1.9308,5.6331e-06,-2.8453e-07,1.9409,4.4971e-10,1.3915e-11,0.0032234,-5.4527e-11,1.2891e-07,-6.7155e-07,0.47623,0.0044165,0.13763,0.4048,0.4238,99949,1e+05,1e+05,0,0,0,0,1,5.1,125,5.1,200
300,300,3.519e-06,-7.1497e-08,1.9405,5.6448e-06,-2.9054e-07,1.9507,4.5025e-10,1.4555e-11,0.0031951,-5.5648e-11,1.311e-07,-6.6559e-07,0.48504,0.0043347,0.13748,0.41229,0.43179,99948,1e+05,1e+05,0,0,0,0,1,5.2,125,5.2,200
300,300,3.53e-06,-7.3096e-08,1.9503,5.6565e-06,-2.9654e-07,1.9604,4.5079e-10,1.5195e-11,0.0031669,-5.677e-11,1.3328e-07,-6.5963e-07,0.49386,0.0042529,0.13734,0.41978,0.43978,99947,1e+05,1e+05,0,0,0,0,1,5.3,125,5.3,200
300,300,3.541e-06,-7.4694e-08,1.96,5.6682e-06,-3.0255e-07,1.9701,4.5133e-10,1.5835e-11,0.0031386,-5.7891e-11,1.3546e-07,-6.5367e-07,0.50267,0.0041711,0.13719,0.42727,0.44777,99946,1e+05,1e+05,0,0,0,0,1,5.4,125,5.4,200
300,300,3.552e-06,-7.6293e-08,1.9698,5.68e-06,-3.0856e-07,1.9799,4.5188e-10,1.6475e-11,0.0031104,-5.9013e-11,1.3765e-07,-6.4771e-07,0.51148,0.0040893,0.13704,0.43476,0.45576,99945,1e+05,1e+05,0,0,0,0,1,5.5,125,5.5,200
300,300,3.5629e-06,-7.7891e-08,1.9795,5.6917e-06,-3.1456e-07,1.9896,4.5242e-10,1.7115e-11,0.0030822,-6.0134e-11,1.3983e-07,-6.4175e-07,0.52029,0.0040075,0.13689,0.44225,0.46375,99944,1e+05,1e+05,0,0,0,0,1,5.6,125,5.6,200
300,300,3.5739e-06,-7.9489e-08,1.9893,5.7034e-06,-3.2057e-07,1.9993,4.5296e-10,1.7755e-11,0.0030539,-6.1256e-11,1.4202e-07,-6.3579e-07,0.5291,0.0039257,0.13674,0.44974,0.47174,99943,1e+05,1e+05,0,0,0,0,1,5.7,125,5.7,200
300,300,3.5849e-06,-8.1088e-08,1.999,5.7151e-06,-3.2658e-07,2.009,4.535e-10,1.8395e-11,0.0030257,-6.2377e-11,1.442e-07,-6.2983e-07,0.53791,0.0038438,0.13659,0.45723,0.47973,99942,1e+05,1e+05,0,0,0,0,1,5.8,125,5.8,200
300,300,3.5959e-06,-8.2686e-08,2.0088,5.7268e-06,-3.3258e-07,2.0188,4.5404e-10,1.9035e-11,0.0029974,-6.3499e-11,1.4639e-07,-6.2388e-07,0.54672,0.003762,0.13644,0.46472,0.48772,99941,1e+05,1e+05,0,0,0,0,1,5.9,125,5.9,200
