# Setup from log.interADMFoam
# Benchmark: true
# Qin_: 178.467
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 1.92901e-08
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sac,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
8.768,0.0458174,1.30001e-07,0.0519578,9.01829,1.10047e-05,-1.81047e-10,1.65275,6.38086e-06,13.41,-0.000714694
8.868,0.0458176,1.30006e-07,0.0519581,9.01837,1.10044e-05,-1.81022e-10,1.65275,6.3821e-06,13.4091,-0.000713011
8.968,0.0458176,1.30011e-07,0.0519583,9.01844,1.10041e-05,-1.80997e-10,1.65274,6.3831e-06,13.4081,-0.000711344
9.068,0.0458177,1.30016e-07,0.0519585,9.01852,1.10038e-05,-1.80972e-10,1.65273,6.38421e-06,13.4072,-0.000709665
9.168,0.0458179,1.30023e-07,0.0519588,9.01861,1.10035e-05,-1.80943e-10,1.65272,6.38546e-06,13.4063,-0.000707969
9.268,0.045818,1.30031e-07,0.0519591,9.01869,1.10032e-05,-1.80911e-10,1.65271,6.38654e-06,13.4053,-0.000706296
9.368,0.0458182,1.30038e-07,0.0519593,9.01877,1.10029e-05,-1.8088e-10,1.65271,6.38767e-06,13.4044,-0.000704623
9.468,0.0458182,1.30048e-07,0.0519595,9.01884,1.10026e-05,-1.80845e-10,1.6527,6.38872e-06,13.4035,-0.000702975
9.568,0.0458183,1.30056e-07,0.0519597,9.01891,1.10023e-05,-1.80813e-10,1.65269,6.38974e-06,13.4026,-0.000701326
9.668,0.0458183,1.30064e-07,0.0519599,9.01899,1.1002e-05,-1.80779e-10,1.65268,6.39076e-06,13.4017,-0.000699684
9.768,0.0458186,1.30075e-07,0.0519603,9.01907,1.10017e-05,-1.8074e-10,1.65267,6.39213e-06,13.4008,-0.000698019
9.868,0.0458187,1.30084e-07,0.0519605,9.01914,1.10014e-05,-1.80707e-10,1.65267,6.39311e-06,13.3998,-0.00069639
9.968,0.0458188,1.30094e-07,0.0519608,9.01921,1.10011e-05,-1.8067e-10,1.65266,6.39431e-06,13.3989,-0.000694749
10.068,0.0458191,1.30104e-07,0.0519611,9.01929,1.10008e-05,-1.80633e-10,1.65265,6.39569e-06,13.398,-0.000693099
10.168,0.0458192,1.30115e-07,0.0519613,9.01935,1.10005e-05,-1.80596e-10,1.65264,6.39666e-06,13.3971,-0.000691494
10.268,0.0458193,1.30126e-07,0.0519616,9.01942,1.10001e-05,-1.80555e-10,1.65263,6.39781e-06,13.3962,-0.000689877
10.368,0.0458195,1.30137e-07,0.0519618,9.0195,1.09998e-05,-1.80516e-10,1.65263,6.39899e-06,13.3953,-0.00068825
10.468,0.0458195,1.30151e-07,0.051962,9.01956,1.09995e-05,-1.80472e-10,1.65262,6.39992e-06,13.3944,-0.00068666
10.568,0.0458196,1.30163e-07,0.0519623,9.01963,1.09992e-05,-1.8043e-10,1.65261,6.40108e-06,13.3935,-0.00068505
10.668,0.0458197,1.30178e-07,0.0519625,9.01969,1.09989e-05,-1.80383e-10,1.6526,6.4022e-06,13.3926,-0.000683447
