# y+ ()           
# Time            	patch             	min               	max               	average           
184               	movingWall	6.1028702021e-01	2.7582323763e+00	1.0326907584e+00
184               	fixedWalls	2.7817337901e-03	2.1782038012e+00	3.0996082554e-01
186               	movingWall	6.1967936497e-01	2.7582643761e+00	1.0341898385e+00
186               	fixedWalls	6.0750519543e-04	2.1769848386e+00	3.1037598412e-01
188               	movingWall	6.1460892847e-01	2.7582243515e+00	1.0339444783e+00
188               	fixedWalls	2.0512181374e-03	2.1779719926e+00	3.0454226782e-01
190               	movingWall	6.1031267444e-01	2.7582599364e+00	1.0319535829e+00
190               	fixedWalls	2.4524265014e-03	2.1777396825e+00	3.0922762651e-01
192               	movingWall	6.1578313563e-01	2.7582974900e+00	1.0329384321e+00
192               	fixedWalls	5.5999258581e-04	2.1765844755e+00	3.0634216244e-01
194               	movingWall	6.1437138105e-01	2.7582219758e+00	1.0339404299e+00
194               	fixedWalls	9.6846575373e-04	2.1782019577e+00	3.0975368320e-01
196               	movingWall	6.1208468279e-01	2.7582556224e+00	1.0328044906e+00
196               	fixedWalls	2.1496510875e-03	2.1775856458e+00	3.0967311047e-01
198               	movingWall	6.2121406449e-01	2.7582779716e+00	1.0343484183e+00
198               	fixedWalls	9.1475738416e-04	2.1767503717e+00	3.0692801822e-01
200               	movingWall	6.1225039036e-01	2.7582136063e+00	1.0336492183e+00
200               	fixedWalls	2.6857068670e-03	2.1780708825e+00	3.0944508050e-01
202               	movingWall	6.1327634613e-01	2.7582780459e+00	1.0326010218e+00
202               	fixedWalls	1.5723430832e-03	2.1771629139e+00	3.0805280584e-01
204               	movingWall	6.2056655272e-01	2.7582735163e+00	1.0343812010e+00
204               	fixedWalls	1.3173720520e-03	2.1769145964e+00	3.0385927528e-01
206               	movingWall	6.1104054075e-01	2.7582153229e+00	1.0334946099e+00
206               	fixedWalls	2.9373365742e-03	2.1782695663e+00	3.1087088880e-01
208               	movingWall	6.1779945193e-01	2.7582682134e+00	1.0338549652e+00
208               	fixedWalls	8.7902301230e-04	2.1770813666e+00	3.0925225799e-01
210               	movingWall	6.2062514512e-01	2.7582529837e+00	1.0349883458e+00
210               	fixedWalls	1.4694025484e-03	2.1774223912e+00	3.0321301695e-01
212               	movingWall	6.1031997196e-01	2.7582212047e+00	1.0332021951e+00
212               	fixedWalls	2.6794690444e-03	2.1781401435e+00	3.0870732259e-01
214               	movingWall	6.1787601980e-01	2.7582859808e+00	1.0337530869e+00
214               	fixedWalls	7.9470224629e-04	2.1768134091e+00	3.0835620041e-01
216               	movingWall	6.1795085134e-01	2.7582326506e+00	1.0347407083e+00
216               	fixedWalls	1.8189338206e-03	2.1778879966e+00	3.0762069747e-01
218               	movingWall	6.0999610837e-01	2.7582362142e+00	1.0329828890e+00
218               	fixedWalls	2.4413535937e-03	2.1780187624e+00	3.0920226507e-01
220               	movingWall	6.2083323954e-01	2.7582761927e+00	1.0346208578e+00
220               	fixedWalls	7.0377502546e-04	2.1768745836e+00	3.0771867364e-01
