"UMean:0","UMean:1","UMean:2","Points:1"
6.1609e-06,-1.532e-06,2.8712,29.2
6.1659e-06,-1.5385e-06,2.8731,29.3
6.1709e-06,-1.545e-06,2.8751,29.4
6.176e-06,-1.5515e-06,2.877,29.5
6.181e-06,-1.558e-06,2.8789,29.6
6.1861e-06,-1.5645e-06,2.8809,29.7
6.1911e-06,-1.571e-06,2.8828,29.8
6.1961e-06,-1.5775e-06,2.8847,29.9
6.2012e-06,-1.584e-06,2.8867,30.0
6.2062e-06,-1.5905e-06,2.8886,30.1
6.2113e-06,-1.5969e-06,2.8905,30.2
6.2163e-06,-1.6034e-06,2.8925,30.3
6.2213e-06,-1.6099e-06,2.8944,30.4
6.2267e-06,-1.6171e-06,2.8962,30.5
6.2325e-06,-1.6251e-06,2.8979,30.6
6.2382e-06,-1.633e-06,2.8996,30.7
6.244e-06,-1.641e-06,2.9013,30.8
6.2497e-06,-1.649e-06,2.9031,30.9
6.2555e-06,-1.6569e-06,2.9048,31.0
6.2612e-06,-1.6649e-06,2.9065,31.1
6.267e-06,-1.6729e-06,2.9082,31.2
6.2727e-06,-1.6808e-06,2.9099,31.3
6.2785e-06,-1.6888e-06,2.9116,31.4
6.2842e-06,-1.6968e-06,2.9133,31.5
6.29e-06,-1.7047e-06,2.915,31.6
6.2957e-06,-1.7127e-06,2.9167,31.7
6.3015e-06,-1.7207e-06,2.9184,31.8
6.3072e-06,-1.7286e-06,2.9201,31.9
6.313e-06,-1.7366e-06,2.9218,32.0
6.3187e-06,-1.7446e-06,2.9235,32.1
6.3245e-06,-1.7525e-06,2.9252,32.2
6.3302e-06,-1.7605e-06,2.9269,32.3
6.336e-06,-1.7685e-06,2.9286,32.4
6.3417e-06,-1.7764e-06,2.9303,32.5
6.3475e-06,-1.7844e-06,2.932,32.6
6.3532e-06,-1.7924e-06,2.9337,32.7
6.359e-06,-1.8003e-06,2.9354,32.8
6.3647e-06,-1.8083e-06,2.9371,32.9
6.3705e-06,-1.8163e-06,2.9388,33.0
6.3762e-06,-1.8242e-06,2.9406,33.1
6.382e-06,-1.8322e-06,2.9423,33.2
6.3877e-06,-1.8402e-06,2.944,33.3
6.3935e-06,-1.8481e-06,2.9457,33.4
6.3992e-06,-1.8561e-06,2.9474,33.5
6.405e-06,-1.8641e-06,2.9491,33.6
6.4107e-06,-1.872e-06,2.9508,33.7
6.4165e-06,-1.88e-06,2.9525,33.8
6.4223e-06,-1.888e-06,2.9542,33.9
6.428e-06,-1.8959e-06,2.9559,34.0
6.4338e-06,-1.9039e-06,2.9576,34.1
6.4395e-06,-1.9119e-06,2.9593,34.2
6.4453e-06,-1.9199e-06,2.961,34.3
6.4508e-06,-1.9293e-06,2.9626,34.4
6.4563e-06,-1.9391e-06,2.9641,34.5
6.4618e-06,-1.9488e-06,2.9656,34.6
6.4673e-06,-1.9586e-06,2.9671,34.7
6.4728e-06,-1.9684e-06,2.9687,34.8
6.4783e-06,-1.9782e-06,2.9702,34.9
6.4838e-06,-1.9879e-06,2.9717,35.0
6.4893e-06,-1.9977e-06,2.9732,35.1
6.4948e-06,-2.0075e-06,2.9747,35.2
6.5003e-06,-2.0172e-06,2.9763,35.3
6.5058e-06,-2.027e-06,2.9778,35.4
6.5113e-06,-2.0368e-06,2.9793,35.5
6.5168e-06,-2.0466e-06,2.9808,35.6
6.5223e-06,-2.0563e-06,2.9824,35.7
6.5278e-06,-2.0661e-06,2.9839,35.8
6.5333e-06,-2.0759e-06,2.9854,35.9
6.5388e-06,-2.0856e-06,2.9869,36.0
6.5444e-06,-2.0954e-06,2.9884,36.1
6.5499e-06,-2.1052e-06,2.99,36.2
6.5554e-06,-2.115e-06,2.9915,36.3
6.5609e-06,-2.1247e-06,2.993,36.4
6.5664e-06,-2.1345e-06,2.9945,36.5
6.5719e-06,-2.1443e-06,2.9961,36.6
6.5774e-06,-2.154e-06,2.9976,36.7
6.5829e-06,-2.1638e-06,2.9991,36.8
6.5884e-06,-2.1736e-06,3.0006,36.9
6.5939e-06,-2.1834e-06,3.0021,37.0
6.5994e-06,-2.1931e-06,3.0037,37.1
6.6049e-06,-2.2029e-06,3.0052,37.2
6.6104e-06,-2.2127e-06,3.0067,37.3
6.6159e-06,-2.2224e-06,3.0082,37.4
6.6214e-06,-2.2322e-06,3.0098,37.5
6.6269e-06,-2.242e-06,3.0113,37.6
6.6324e-06,-2.2517e-06,3.0128,37.7
6.6379e-06,-2.2615e-06,3.0143,37.8
6.6434e-06,-2.2713e-06,3.0158,37.9
6.6489e-06,-2.2811e-06,3.0174,38.0
6.6544e-06,-2.2908e-06,3.0189,38.1
6.6597e-06,-2.301e-06,3.0204,38.2
6.6642e-06,-2.3127e-06,3.0218,38.3
6.6686e-06,-2.3245e-06,3.0231,38.4
6.673e-06,-2.3362e-06,3.0245,38.5
6.6775e-06,-2.348e-06,3.0259,38.6
6.6819e-06,-2.3597e-06,3.0273,38.7
6.6864e-06,-2.3715e-06,3.0286,38.8
6.6908e-06,-2.3832e-06,3.03,38.9
6.6953e-06,-2.395e-06,3.0314,39.0
6.6997e-06,-2.4067e-06,3.0327,39.1
6.7041e-06,-2.4185e-06,3.0341,39.2
6.7086e-06,-2.4302e-06,3.0355,39.3
6.713e-06,-2.442e-06,3.0369,39.4
6.7175e-06,-2.4537e-06,3.0382,39.5
6.7219e-06,-2.4655e-06,3.0396,39.6
6.7263e-06,-2.4772e-06,3.041,39.7
6.7308e-06,-2.489e-06,3.0424,39.8
6.7352e-06,-2.5007e-06,3.0437,39.9
6.7397e-06,-2.5125e-06,3.0451,40.0
6.7441e-06,-2.5242e-06,3.0465,40.1
6.7486e-06,-2.536e-06,3.0478,40.2
6.753e-06,-2.5478e-06,3.0492,40.3
6.7574e-06,-2.5595e-06,3.0506,40.4
6.7619e-06,-2.5713e-06,3.052,40.5
6.7663e-06,-2.583e-06,3.0533,40.6
6.7708e-06,-2.5948e-06,3.0547,40.7
6.7752e-06,-2.6065e-06,3.0561,40.8
6.7796e-06,-2.6183e-06,3.0575,40.9
6.7841e-06,-2.63e-06,3.0588,41.0
6.7885e-06,-2.6418e-06,3.0602,41.1
6.793e-06,-2.6535e-06,3.0616,41.2
6.7974e-06,-2.6653e-06,3.063,41.3
6.8019e-06,-2.677e-06,3.0643,41.4
6.8063e-06,-2.6888e-06,3.0657,41.5
6.8107e-06,-2.7005e-06,3.0671,41.6
6.8152e-06,-2.7123e-06,3.0684,41.7
6.8196e-06,-2.724e-06,3.0698,41.8
6.8241e-06,-2.7358e-06,3.0712,41.9
6.8285e-06,-2.7475e-06,3.0726,42.0
6.8321e-06,-2.7604e-06,3.0739,42.1
6.8348e-06,-2.7741e-06,3.0751,42.2
6.8376e-06,-2.7879e-06,3.0764,42.3
6.8404e-06,-2.8016e-06,3.0776,42.4
6.8432e-06,-2.8154e-06,3.0789,42.5
6.846e-06,-2.8291e-06,3.0801,42.6
6.8488e-06,-2.8429e-06,3.0814,42.7
6.8516e-06,-2.8566e-06,3.0826,42.8
6.8544e-06,-2.8704e-06,3.0839,42.9
6.8572e-06,-2.8842e-06,3.0851,43.0
6.86e-06,-2.8979e-06,3.0863,43.1
6.8627e-06,-2.9117e-06,3.0876,43.2
6.8655e-06,-2.9254e-06,3.0888,43.3
6.8683e-06,-2.9392e-06,3.0901,43.4
6.8711e-06,-2.9529e-06,3.0913,43.5
6.8739e-06,-2.9667e-06,3.0926,43.6
6.8767e-06,-2.9804e-06,3.0938,43.7
6.8795e-06,-2.9942e-06,3.0951,43.8
6.8823e-06,-3.0079e-06,3.0963,43.9
6.8851e-06,-3.0217e-06,3.0976,44.0
6.8879e-06,-3.0354e-06,3.0988,44.1
6.8906e-06,-3.0492e-06,3.1001,44.2
6.8934e-06,-3.063e-06,3.1013,44.3
6.8962e-06,-3.0767e-06,3.1026,44.4
6.899e-06,-3.0905e-06,3.1038,44.5
6.9018e-06,-3.1042e-06,3.1051,44.6
6.9046e-06,-3.118e-06,3.1063,44.7
6.9074e-06,-3.1317e-06,3.1076,44.8
6.9102e-06,-3.1455e-06,3.1088,44.9
6.913e-06,-3.1592e-06,3.1101,45.0
6.9158e-06,-3.173e-06,3.1113,45.1
6.9185e-06,-3.1867e-06,3.1126,45.2
6.9213e-06,-3.2005e-06,3.1138,45.3
6.9241e-06,-3.2142e-06,3.115,45.4
6.9269e-06,-3.228e-06,3.1163,45.5
6.9297e-06,-3.2418e-06,3.1175,45.6
6.9325e-06,-3.2555e-06,3.1188,45.7
6.9353e-06,-3.2693e-06,3.12,45.8
6.9381e-06,-3.283e-06,3.1213,45.9
6.939e-06,-3.2985e-06,3.1224,46.0
6.9398e-06,-3.3141e-06,3.1236,46.1
6.9406e-06,-3.3297e-06,3.1247,46.2
6.9413e-06,-3.3454e-06,3.1259,46.3
6.9421e-06,-3.361e-06,3.127,46.4
6.9429e-06,-3.3766e-06,3.1281,46.5
6.9436e-06,-3.3923e-06,3.1293,46.6
6.9444e-06,-3.4079e-06,3.1304,46.7
6.9452e-06,-3.4235e-06,3.1316,46.8
6.9459e-06,-3.4392e-06,3.1327,46.9
6.9467e-06,-3.4548e-06,3.1338,47.0
6.9475e-06,-3.4704e-06,3.135,47.1
6.9482e-06,-3.4861e-06,3.1361,47.2
6.949e-06,-3.5017e-06,3.1373,47.3
6.9497e-06,-3.5173e-06,3.1384,47.4
6.9505e-06,-3.5329e-06,3.1395,47.5
6.9513e-06,-3.5486e-06,3.1407,47.6
6.952e-06,-3.5642e-06,3.1418,47.7
6.9528e-06,-3.5798e-06,3.143,47.8
6.9536e-06,-3.5955e-06,3.1441,47.9
6.9543e-06,-3.6111e-06,3.1453,48.0
6.9551e-06,-3.6267e-06,3.1464,48.1
6.9559e-06,-3.6424e-06,3.1475,48.2
6.9566e-06,-3.658e-06,3.1487,48.3
6.9574e-06,-3.6736e-06,3.1498,48.4
6.9582e-06,-3.6893e-06,3.151,48.5
